NP_391348_1	NC_000964.3	3562565	3563542
NP_388864_2	NC_000964.3	1056701	1057567
NP_390960_1	NC_000964.3	3152304	3150562
NP_389563_1	NC_000964.3	1754784	1755509
NP_391233_1	NC_000964.3	3444328	3445404
NP_389743_2	NC_000964.3	2031438	2032889
NP_388931_1	NC_000964.3	1122861	1124360
NP_389251_1	NC_000964.3	1434460	1433675
NP_390850_1	NC_000964.3	3043293	3042565
NP_388665_1	NC_000964.3	859501	855113
NP_389080_1	NC_000964.3	1268828	1269583
NP_389569_2	NC_000964.3	1759654	1760382
NP_389732_1	NC_000964.3	2019269	2018553
NP_389594_2	NC_000964.3	1788694	1789941
NP_390087_1	NC_000964.3	2318052	2316955
NP_389026_1	NC_000964.3	1221593	1222528
NP_389183_2	NC_000964.3	1368843	1369832
NP_389180_2	NC_000964.3	1365887	1366846
NP_388940_1	NC_000964.3	1133497	1135224
NP_389117_1	NC_000964.3	1306561	1307397
NP_389474_1	NC_000964.3	1665336	1665569
NP_388186_2	NC_000964.3	327617	329596
NP_388223_1	NC_000964.3	370258	371691
NP_391735_1	NC_000964.3	3959843	3958515
NP_391891_1	NC_000964.3	4122604	4121165
NP_388272_1	NC_000964.3	441570	442880
NP_389813_1	NC_000964.3	2100579	2102066
NP_391762_1	NC_000964.3	3986427	3987884
NP_391865_2	NC_000964.3	4093979	4095316
NP_391281_1	NC_000964.3	3491252	3489909
NP_388512_2	NC_000964.3	686563	685154
NP_389854_1	NC_000964.3	2144348	2143659
NP_388916_1	NC_000964.3	1110481	1109387
NP_390297_1	NC_000964.3	2514041	2512860
NP_391162_1	NC_000964.3	3370013	3368838
NP_391015_1	NC_000964.3	3224633	3223470
NP_389706_1	NC_000964.3	1954514	1953180
YP_003097733_1	NC_000964.3	1953165	1952944
NP_390125_1	NC_000964.3	2355894	2354917
NP_390314_2	NC_000964.3	2531705	2530353
NP_390315_1	NC_000964.3	2532196	2531717
NP_390798_1	NC_000964.3	2988707	2987730
NP_390799_2	NC_000964.3	2989564	2988692
NP_391354_1	NC_000964.3	3569548	3569291
NP_388651_1	NC_000964.3	840655	842013
NP_389273_1	NC_000964.3	1459383	1459649
NP_389274_2	NC_000964.3	1459649	1461361
NP_389003_1	NC_000964.3	1197325	1198101
NP_389002_2	NC_000964.3	1196090	1197310
NP_391482_2	NC_000964.3	3711339	3709627
NP_390708_2	NC_000964.3	2895250	2894732
NP_390709_1	NC_000964.3	2896971	2895247
NP_390825_1	NC_000964.3	3016297	3015110
NP_391481_1	NC_000964.3	3709565	3708798
NP_388051_1	NC_000964.3	192964	192050
NP_391666_1	NC_000964.3	3888861	3887740
NP_388333_1	NC_000964.3	505151	506296
NP_389708_1	NC_000964.3	1957359	1956217
NP_390295_2	NC_000964.3	2511944	2510805
NP_391161_1	NC_000964.3	3368823	3367039
NP_391598_1	NC_000964.3	3814384	3813245
NP_389418_2	NC_000964.3	1607555	1608835
NP_389683_1	NC_000964.3	1926679	1929408
NP_389004_2	NC_000964.3	1198098	1199255
NP_389471_1	NC_000964.3	1662546	1663547
NP_389804_1	NC_000964.3	2096975	2096349
NP_391234_1	NC_000964.3	3446076	3445441
NP_388343_1	NC_000964.3	515709	516074
NP_390834_2	NC_000964.3	3025265	3023676
NP_390846_1	NC_000964.3	3039930	3038212
NP_391000_1	NC_000964.3	3203928	3201859
NP_390847_1	NC_000964.3	3040091	3040723
NP_390848_1	NC_000964.3	3040750	3041394
NP_390849_1	NC_000964.3	3041391	3042554
NP_388687_1	NC_000964.3	879001	880002
NP_388688_1	NC_000964.3	880006	881034
NP_388689_1	NC_000964.3	881048	882244
NP_388690_1	NC_000964.3	882265	883641
NP_390919_1	NC_000964.3	3115288	3113978
NP_390920_1	NC_000964.3	3115973	3115278
NP_390921_1	NC_000964.3	3116965	3115988
NP_390922_1	NC_000964.3	3117981	3116995
NP_390923_1	NC_000964.3	3118853	3117975
NP_388645_1	NC_000964.3	838009	837734
NP_387895_1	NC_000964.3	23148	22495
NP_387957_1	NC_000964.3	84873	85754
NP_390615_1	NC_000964.3	2796968	2795886
NP_387955_1	NC_000964.3	82863	84275
NP_387956_1	NC_000964.3	84289	84873
NP_388538_1	NC_000964.3	713663	715405
NP_389335_2	NC_000964.3	1521350	1523083
NP_388018_1	NC_000964.3	145876	146529
NP_390779_2	NC_000964.3	2966792	2966412
NP_391750_1	NC_000964.3	3971059	3972432
NP_389302_1	NC_000964.3	1489752	1490876
NP_387928_1	NC_000964.3	54440	55297
NP_390639_1	NC_000964.3	2823412	2822900
NP_388972_1	NC_000964.3	1170475	1169876
NP_389443_1	NC_000964.3	1633368	1633961
NP_391506_1	NC_000964.3	3732534	3731821
NP_388526_1	NC_000964.3	700231	701526
NP_391922_1	NC_000964.3	4156724	4155432
NP_391381_1	NC_000964.3	3595355	3596545
NP_388193_2	NC_000964.3	337431	336091
NP_391585_1	NC_000964.3	3800335	3799376
NP_391629_1	NC_000964.3	3848724	3847852
NP_389001_2	NC_000964.3	1195033	1196070
NP_390605_1	NC_000964.3	2787824	2787129
NP_388759_2	NC_000964.3	955894	957666
NP_387954_1	NC_000964.3	81770	82696
NP_388534_2	NC_000964.3	708593	710131
NP_388524_1	NC_000964.3	698611	699099
NP_388525_2	NC_000964.3	699092	700234
NP_389344_1	NC_000964.3	1531869	1533281
NP_389818_2	NC_000964.3	2108757	2107504
NP_389819_3	NC_000964.3	2111607	2108773
NP_388638_1	NC_000964.3	829381	830817
NP_389736_1	NC_000964.3	2022466	2021222
NP_388455_2	NC_000964.3	621484	620096
NP_388822_2	NC_000964.3	1018467	1017082
NP_391035_1	NC_000964.3	3243656	3244615
NP_391396_1	NC_000964.3	3612936	3610063
NP_389019_2	NC_000964.3	1212459	1213448
NP_389021_2	NC_000964.3	1215242	1216192
NP_388337_1	NC_000964.3	508247	509311
NP_391071_1	NC_000964.3	3278324	3279460
NP_388345_1	NC_000964.3	517371	518540
NP_389646_1	NC_000964.3	1899124	1897940
NP_388088_1	NC_000964.3	226565	227953
NP_388124_2	NC_000964.3	264167	262731
NP_388656_1	NC_000964.3	844769	846184
NP_389694_1	NC_000964.3	1938924	1940321
NP_390659_2	NC_000964.3	2841610	2843064
NP_388848_1	NC_000964.3	1041993	1042841
NP_388399_2	NC_000964.3	564712	566100
NP_391018_2	NC_000964.3	3226931	3225771
NP_388834_1	NC_000964.3	1030264	1031259
NP_391857_1	NC_000964.3	4085607	4086539
NP_390574_2	NC_000964.3	2753451	2754587
NP_390579_2	NC_000964.3	2756311	2757360
NP_391905_1	NC_000964.3	4137023	4135797
NP_388129_1	NC_000964.3	268845	270311
NP_391675_2	NC_000964.3	3896289	3897659
NP_391133_1	NC_000964.3	3343670	3342432
NP_391121_1	NC_000964.3	3328586	3327246
NP_388296_1	NC_000964.3	466041	466943
NP_390562_2	NC_000964.3	2742908	2743888
NP_389121_2	NC_000964.3	1311318	1312811
NP_391380_1	NC_000964.3	3595173	3594241
NP_388198_2	NC_000964.3	341373	340612
NP_388299_1	NC_000964.3	471501	470956
NP_391868_1	NC_000964.3	4097415	4098149
NP_390271_2	NC_000964.3	2486794	2485679
NP_390629_2	NC_000964.3	2811697	2810558
NP_391085_1	NC_000964.3	3297918	3296416
NP_390871_2	NC_000964.3	3063806	3061650
NP_390148_2	NC_000964.3	2375896	2374880
NP_390149_1	NC_000964.3	2377415	2375868
NP_389301_2	NC_000964.3	1488972	1489682
NP_390209_1	NC_000964.3	2431342	2430257
NP_389440_1	NC_000964.3	1630381	1631082
NP_389283_2	NC_000964.3	1473037	1471856
NP_389586_2	NC_000964.3	1775744	1778320
NP_390783_1	NC_000964.3	2970037	2970879
NP_391220_1	NC_000964.3	3427578	3426748
NP_390758_2	NC_000964.3	2948874	2947384
NP_390751_2	NC_000964.3	2940695	2939850
NP_390752_1	NC_000964.3	2941637	2940696
NP_390753_2	NC_000964.3	2942974	2941673
NP_389113_1	NC_000964.3	1301938	1303317
NP_391276_1	NC_000964.3	3485465	3484071
NP_390782_1	NC_000964.3	2968823	2970013
NP_391806_2	NC_000964.3	4035606	4033777
NP_390276_1	NC_000964.3	2491295	2490573
NP_390277_1	NC_000964.3	2491947	2491288
NP_390278_1	NC_000964.3	2492795	2492028
NP_391828_1	NC_000964.3	4059464	4058790
NP_389346_1	NC_000964.3	1535750	1534278
NP_389185_2	NC_000964.3	1371874	1371014
NP_391912_1	NC_000964.3	4142600	4141710
NP_390822_1	NC_000964.3	3013135	3011750
NP_390823_1	NC_000964.3	3014343	3013132
NP_388827_1	NC_000964.3	1023349	1024746
NP_391214_1	NC_000964.3	3421064	3419655
NP_391656_1	NC_000964.3	3877191	3875779
NP_391913_1	NC_000964.3	4144077	4142674
NP_389557_1	NC_000964.3	1745990	1747030
NP_390239_1	NC_000964.3	2456807	2455818
NP_388151_1	NC_000964.3	290914	292041
NP_388960_2	NC_000964.3	1157236	1159080
NP_390932_1	NC_000964.3	3127674	3125776
NP_391871_2	NC_000964.3	4098925	4101168
NP_390122_1	NC_000964.3	2352974	2352591
NP_389107_1	NC_000964.3	1296499	1295747
NP_389432_2	NC_000964.3	1620475	1621389
NP_388261_1	NC_000964.3	431986	430622
NP_389558_2	NC_000964.3	1747122	1748336
NP_390725_1	NC_000964.3	2910745	2909519
NP_390665_1	NC_000964.3	2849465	2847870
NP_390238_2	NC_000964.3	2455773	2454346
NP_388838_1	NC_000964.3	1034045	1035226
NP_390118_1	NC_000964.3	2348840	2347659
NP_390357_2	NC_000964.3	2564405	2564025
NP_391160_1	NC_000964.3	3366928	3366572
NP_390455_1	NC_000964.3	2655740	2655321
NP_391372_1	NC_000964.3	3588191	3587550
NP_390984_1	NC_000964.3	3186563	3185091
NP_391805_2	NC_000964.3	4033754	4032345
NP_389311_1	NC_000964.3	1497191	1498483
NP_389309_1	NC_000964.3	1495504	1496103
NP_389312_1	NC_000964.3	1498444	1498965
NP_388505_1	NC_000964.3	678950	677910
NP_390898_1	NC_000964.3	3091488	3090481
NP_390421_1	NC_000964.3	2623031	2621676
NP_389853_1	NC_000964.3	2143674	2143021
NP_390287_2	NC_000964.3	2502639	2501548
NP_388763_3	NC_000964.3	961393	962160
NP_388764_1	NC_000964.3	962178	963176
NP_388765_1	NC_000964.3	963173	964003
NP_388177_1	NC_000964.3	317724	318926
NP_389591_1	NC_000964.3	1783762	1784628
NP_390557_1	NC_000964.3	2736914	2737957
NP_391652_2	NC_000964.3	3872865	3872104
